repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
CopilotKit/CopilotKit,AI engineering,AI interface,12549,25,0.20%,118,0.94%,2030,"React UI + elegant infrastructure for AI Copilots, in-app AI agents, AI chatbots, and AI-powered Textareas 🪁","ataibarkai, mme, arielweinberger",65,2023-06-19,2024-11-03,0
outlines-dev/outlines,AI engineering,Prompt engineering,9157,24,0.26%,138,1.51%,466,Structured Text Generation,"rlouf, lapp0, brandonwillard",100+,2023-03-17,2024-10-27,0
ggerganov/whisper.cpp,Model development,Inference optimization,35462,24,0.07%,152,0.43%,3613,Port of OpenAI's Whisper model in C/C++,"ggerganov, JohannesGaessler, slaren",100+,2022-09-25,2024-11-01,76632
karthink/gptel,Applications,Bots,1527,23,1.51%,144,9.43%,144,A simple LLM client for Emacs,"karthink, joaotavora, daedsidog",46,2023-03-06,2024-11-03,0
chatchat-space/Langchain-Chatchat,AI engineering,AIE framework,31882,23,0.07%,104,0.33%,5560,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","imClumsyPanda, liunux4odoo, glide-the",100+,2023-03-31,2024-11-03,0
guillaumekln/faster-whisper,Infrastructure,Serving,12250,22,0.18%,124,1.01%,1026,Faster Whisper transcription with CTranslate2,"guillaumekln, Purfview, trungkienbkhn",42,2023-02-11,2024-11-05,0
chroma-core/chroma,Infrastructure,VectorDB,15240,22,0.14%,121,0.79%,1276,the AI-native open-source embedding database,"jeffchuber, HammadB, levand",100+,2022-10-05,2024-11-05,32
khoj-ai/khoj,Applications,Info aggregation,13014,21,0.16%,170,1.31%,664,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations. Turn any online or local LLM into your personal, autonomous AI (e.g gpt, claude, gemini, llama, qwen, mistral). ","debanjum, sabaimran, MythicalCow",37,2021-08-16,2024-11-02,39643
nomic-ai/gpt4all,AI engineering,AIE framework,70459,21,0.03%,180,0.26%,7687,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,"manyoso, cebtenzzre, AndriyMulyar",100+,2023-03-27,2024-11-05,8940
Mozilla-Ocho/llamafile,Model development,Inference optimization,20225,20,0.10%,213,1.05%,1012,Distribute and run LLMs with a single file.,"jart, stlhood, ahgamut",47,2023-09-10,2024-11-02,7890
facefusion/facefusion,Applications,Image production,19342,20,0.10%,171,0.88%,2943,Industry leading face manipulation platform,"henryruhs, sklart",2,2023-08-17,2024-11-05,0
labring/FastGPT,AI engineering,AIE framework,17917,20,0.11%,135,0.75%,4776,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","c121914yu, newfish-cmyk, yangchuansheng",97,2023-02-23,2024-11-05,0
haotian-liu/LLaVA,Model repo,Multimodal,20093,20,0.10%,120,0.60%,2209,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,"haotian-liu, ChunyuanLI, mattmazzola",48,2023-04-17,2023-11-27,0
upscayl/upscayl,Applications,Image production,30975,20,0.06%,146,0.47%,1427,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","NayamAmarshe, aaronliu0130, TGS963",26,2022-07-30,2024-10-30,5572250
xtekky/gpt4free,AI engineering,AI interface,61013,20,0.03%,216,0.35%,13300,The official gpt4free repository | various collection of powerful language models,"xtekky, hlohaus, kqlio67",100+,2023-03-29,2024-10-30,136
oobabooga/text-generation-webui,AI engineering,AI interface,40461,20,0.05%,110,0.27%,5305,A Gradio web UI for Large Language Models.,"oobabooga, jllllll, mcmonkey4eva",100+,2022-12-21,2024-10-25,106573
openai/openai-cookbook,Tutorials,,59630,20,0.03%,122,0.20%,9491,Examples and guides for using the OpenAI API,"ted-at-openai, simonpfish, colin-openai",100+,2022-03-11,2024-11-02,0
SillyTavern/SillyTavern,AI engineering,AI interface,8151,19,0.23%,125,1.53%,2396,LLM Frontend for Power Users.,"Cohee1207, Wolfsblvt, RossAscends",100+,2023-02-09,2024-11-05,9
huggingface/diffusers,Model development,Modeling & training,26040,19,0.07%,119,0.46%,5357,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch and FLAX.,"patrickvonplaten, sayakpaul, patil-suraj",100+,2022-05-30,2024-11-05,0
deepset-ai/haystack,AI engineering,AIE framework,17532,18,0.10%,132,0.75%,1902,":mag: AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.","ZanSara, silvanocerza, masci",100+,2019-11-14,2024-09-06,23
Sinaptik-AI/pandas-ai,Applications,Coding,13195,18,0.14%,60,0.45%,1278,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.","gventuri, ArslanSaleem, mspronesti",98,2023-04-22,2024-10-16,0
coqui-ai/TTS,Model development,Modeling & training,35184,18,0.05%,150,0.43%,4292,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production","erogol, Edresson, WeberJulian",100+,2020-05-20,2023-12-12,1739417
facebookresearch/faiss,Infrastructure,VectorDB,31279,18,0.06%,109,0.35%,3631,A library for efficient similarity search and clustering of dense vectors.,"mdouze, beauby, r-barnes",100+,2017-02-07,1000-01-01,0
ray-project/ray,Model development,Modeling & training,33763,18,0.05%,111,0.33%,5742,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"ericl, sven1977, robertnishihara",100+,2016-10-25,2024-11-05,135
FlagOpen/FlagEmbedding,Model development,Modeling & training,7429,17,0.23%,111,1.49%,534,Retrieval and Retrieval-augmented LLMs,"hanhainebula, 545999961, staoxiao",50,2023-08-02,2024-11-04,0
promptfoo/promptfoo,AI engineering,Prompt engineering,4635,17,0.37%,60,1.29%,363,"Test your prompts, agents, and RAGs. Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.","typpo, mldangelo, sklein12",100+,2023-04-28,2024-11-05,170
weaviate/weaviate,Infrastructure,VectorDB,11360,17,0.15%,100,0.88%,787,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.","etiennedi, antas-marcin, dirkkul",100+,2016-03-30,2024-11-05,180204
vercel/ai,AI engineering,AIE framework,9966,17,0.17%,80,0.80%,1473,"Build AI-powered applications with React, Svelte, Vue, and Solid","lgrammel, jaredpalmer, MaxLeiter",100+,2023-05-23,2024-11-05,0
ml-explore/mlx,Model development,Modeling & training,17029,17,0.10%,111,0.65%,986,MLX: An array framework for Apple silicon,"awni, angeloskath, jagrit06",100+,2023-11-28,2024-11-05,0
OpenBMB/OmniLMM,Model repo,Multimodal,12477,17,0.14%,66,0.53%,878,"MiniCPM-V 2.6: A GPT-4V Level MLLM for Single Image, Multi Image and Video on Your Phone","yiranyyu, iceflame89, LDLINGLINGLING",22,2024-01-29,2024-09-13,0
run-llama/llama_index,AI engineering,AIE framework,36520,17,0.05%,160,0.44%,5223,LlamaIndex is a data framework for your LLM applications,"jerryjliu, logan-markewich, Disiok",100+,2022-11-02,2024-11-05,1311
langfuse/langfuse,Infrastructure,Monitoring,6268,16,0.26%,109,1.74%,605,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with LlamaIndex, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ","marcklingen, maxdeichmann, marliessophie",48,2023-05-18,2024-11-05,0
xorbitsai/inference,Infrastructure,Serving,5294,16,0.30%,64,1.21%,427,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.","ChengjieLi28, UranusSeven, codingl2k1",79,2023-06-14,2024-09-10,0
Lightning-AI/litgpt,Model development,Modeling & training,10561,16,0.15%,66,0.62%,1050,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.","carmocca, rasbt, awaelchli",88,2023-05-04,2024-07-01,0
confident-ai/deepeval,AI engineering,Evals,3503,15,0.43%,102,2.91%,279,The LLM Evaluation Framework,"penguine-ip, ColabDog, kritinv",72,2023-08-10,2024-11-03,0
explodinggradients/ragas,AI engineering,Evals,7117,15,0.21%,67,0.94%,723,Supercharge Your LLM Application Evaluations 🚀,"shahules786, jjmachan, tinomaxthayil",100+,2023-05-08,2024-11-05,0
lucidrains/denoising-diffusion-pytorch,Model repo,,8293,15,0.18%,51,0.61%,1024,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,"lucidrains, Adversarian, AlejandroSantorum",23,2020-08-26,2024-05-30,0
sgl-project/sglang,AI engineering,Prompt engineering,5900,14,0.24%,102,1.73%,478,SGLang is a fast serving framework for large language models and vision language models.,"merrymercy, Ying1123, hnyls2002",100+,2024-01-08,2024-11-05,0
e2b-dev/awesome-ai-agents,Lists,,11143,14,0.13%,147,1.32%,820,A list of AI autonomous agents,"tizkovatereza, mlejva, zhimin-z",52,2023-06-19,2024-07-28,0
joonspk-research/generative_agents,Applications,Bots,17362,14,0.08%,81,0.47%,2235,Generative Agents: Interactive Simulacra of Human Behavior,"joonspk-research, tripathiarpan20, eltociear",5,2023-07-23,2023-08-11,0
Bin-Huang/chatbox,Applications,Bots,21524,14,0.07%,92,0.43%,2171,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)","Bin-Huang, hiNISAL, joegoldin",29,2023-03-06,2024-09-02,452295
meta-llama/llama3,Model repo,,26975,14,0.05%,84,0.31%,3055,The official Meta Llama 3 GitHub site,"jspisak, ruanslv, astonzhang",25,2024-03-15,2024-04-18,0
lllyasviel/Fooocus,Applications,Image production,41228,14,0.03%,124,0.30%,5817,Focus on prompting and generating,"lllyasviel, mashb1t, MoonRide303",58,2023-08-09,2024-08-12,178670
lutzroeder/netron,Tutorials,,28044,14,0.05%,67,0.24%,2777,"Visualizer for neural network, deep learning and machine learning models",lutzroeder,1,2010-12-26,1000-01-01,181157
CompVis/stable-diffusion,Model repo,,68234,14,0.02%,103,0.15%,10152,A latent text-to-image diffusion model,"rromb, pesser, patrickvonplaten",7,2022-08-10,2022-08-22,0
apple/ml-stable-diffusion,Model repo,,16861,14,0.08%,24,0.14%,942,Stable Diffusion with Core ML on Apple Silicon,"atiorh, TobyRoseman, pcuenca",35,2022-11-16,2024-10-23,0
alibaba/data-juicer,Model development,Dataset engineering,2856,13,0.46%,55,1.93%,174,"A one-stop data processing system to make data higher-quality, juicier, and more digestible for (multimodal) LLMs!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷为大模型提供更高质量、更丰富、更易”消化“的数据！","HYLcool, zhijianma, yxdyc",24,2023-08-01,2024-11-05,2
assafelovic/gpt-researcher,Applications,Info aggregation,14763,13,0.09%,81,0.55%,1969,LLM based autonomous agent that conducts local and web research on any topic and generates a comprehensive report with citations.,"assafelovic, ElishaKay, rotemweiss57",97,2023-05-12,2024-11-02,0
datawhalechina/prompt-engineering-for-developers,Tutorials,,11828,13,0.11%,64,0.54%,1474,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版,"logan-zou, Beyondzjl, xuhu0115",33,2023-04-28,2024-09-15,4491
lucidrains/vit-pytorch,Model repo,,20411,13,0.06%,88,0.43%,3031,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","lucidrains, zankner, developer0hye",20,2020-10-03,2024-08-20,0
s0md3v/roop,Applications,Image production,28483,13,0.05%,60,0.21%,6953,one-click face swap,"henryruhs, s0md3v, K1llMan",20,2023-05-28,2023-08-02,0
JushBJJ/Mr.-Ranedeer-AI-Tutor,Applications,Education,28829,13,0.05%,57,0.20%,3319,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,"JushBJJ, angelkurten, Livshitz",12,2023-03-31,2023-11-09,1864
lm-sys/FastChat,Model development,Modeling & training,36876,13,0.04%,57,0.15%,4544,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","merrymercy, infwinston, suquark",100+,2023-03-19,2024-11-02,0
WooooDyy/LLM-Agent-Paper-List,Lists,,6745,12,0.18%,128,1.90%,406,"The paper list of the 86-page paper ""The Rise and Potential of Large Language Model Based Agents: A Survey"" by Zhiheng Xi et al.","WooooDyy, zsxmwjz, Yiwen-Ding",37,2023-09-12,2024-06-07,0
langchain-ai/langgraph,AI engineering,Agent,6494,12,0.18%,113,1.74%,1034,Build resilient language agents as graphs.,"nfcampos, vbarda, hinthornw",85,2023-08-09,2024-11-05,0
THUDM/CogVideo,Model repo,,8445,12,0.14%,104,1.23%,806,text and image to video generation: CogVideoX (2024) and CogVideo (ICLR 2023),"zRzRzRzRzRzRzR, wenyihong, chenxwh",27,2022-05-29,2024-11-03,0
huggingface/trl,Model development,Modeling & training,9956,12,0.12%,88,0.88%,1257,Train transformer language models with reinforcement learning.,"younesbelkada, qgallouedec, lewtun",100+,2020-03-27,2024-10-11,0
Unstructured-IO/unstructured,AI engineering,AIE framework,9015,12,0.13%,76,0.84%,742,"Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ","MthwRobinson, scanny, rbiseck3",100+,2022-09-26,2024-07-09,0
activepieces/activepieces,Applications,Workflow automation,9721,12,0.12%,74,0.76%,1178,Your friendliest open source AI automation tool ✨ Workflow automation tool 200+ integration / Enterprise automation tool / Zapier Alternative,"abuaboud, AbdulTheActivePiecer, khaledmashaly",100+,2022-12-03,2024-11-05,0
